[1209/135632.908:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1210/221444.610:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221449.705:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221454.736:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221459.767:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221504.814:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221509.845:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221514.861:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221519.892:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221524.939:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221529.970:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221535.001:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221540.126:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221545.158:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221550.220:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221555.267:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221600.298:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221605.330:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221610.361:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221615.392:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221620.423:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221625.470:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221630.501:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221635.533:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221640.564:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221645.595:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221650.673:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221655.705:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221700.736:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221705.767:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221710.814:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221715.845:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221720.877:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221725.908:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221730.939:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221735.970:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221741.002:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221746.033:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221751.064:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221756.095:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221801.127:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221806.158:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221811.189:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221816.220:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221821.252:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221826.283:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221831.314:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221836.361:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221841.392:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221846.423:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221851.470:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221856.517:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221901.548:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221906.580:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221911.626:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221916.986:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221922.017:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221927.048:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221932.080:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221937.111:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221942.142:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221947.177:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221952.209:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/221957.240:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/222002.271:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/222007.302:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/222012.334:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/222017.380:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/222022.412:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/222025.662:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1210/222027.443:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1213/221225.043:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1213/221230.187:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1213/221235.232:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1213/221240.283:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1213/221245.326:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1213/221250.366:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1213/221255.397:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
